art,t,bpm,g,ln,s
MitiS & MaHi,Blu (Speed Up Ver.),167.56,10,5,261911
m108,XIII Charlotte,186,10,5,1400205
Rish feat. Choko,Punai Punai Sensou,271,10,3,1109546
Rita,Little Busters! -TV animation ver.-,151,3,3,56259
Aoi Eir,MEMORIA (TV Size),128,3,3,37749
Umeboshi Chazuke,Bison Charge,243,10,5,1368447
Gom (HoneyWorks),Zen Zen Zense,190.1,3,3,503141
Yu-Peng Chen @HOYO-MiX,A Sweet Smile,170,2,5,1759337
Kuroki Meisa,Wired Life (TV Size),128,3,3,35299
Suzuki Konomi,Realize (TV Size),206,3,3,1196770
BAND-MAID,Choose me,180,4,3,1032794
FREDERIC,Kanashii Ureshii,142,3,3,635275
Lapfox Trax feat. guilhox,Lapfoxed Forever,220,10,2,59521
Eisyo-kobu,Oriental Blossom,180,2,5,747823
Hanasaka Yui (CV: M.A.O),Aozora Morning Glory (TV Size),138,5,3,1376932
Lite Show Magic (t+pazolite vs C-Show),Crack Traxxxx,220,2,5,139525
Yousei Teikoku,Kokou no Sousei,240,6,3,28705
THE ORAL CIGARETTES,Miss Tail (Cut Ver.),180,4,3,1553526
DJ Fresh (feat. Rita Ora),Hot Right Now (Radio Edit),175,10,2,231114
Tenacious D,To Be The Best,180,4,2,601419
Seishun Buta Yarou Cast,Fukashigi no Karte,96,3,3,868749
CustomiZ,COOLEST (TV Size),188,3,3,1759632
FELT,In my room,165,10,5,206284
ZAQ,VOICE (TV Size),184,3,3,265875
Drop,Granat,180.96,6,5,219763
Takagi-san (CV: Takahashi Rie),Kimagure Romantic (TV Size),170,3,3,784563
Thaehan,Insert Coin,178,10,5,1357790
xi,Last Resort,252,2,5,1625860
u's,Korekara no Someday,240,3,3,335711
Wakeshima Kanon,"World's End, Girl's Rondo(Asterisk DnB Remix)",175,3,3,444049
Bowling For Soup,Today is Gonna be a Great Day (TV Size),180,4,2,1549752
LiSA,Gurenge (TV Size),135,3,3,978168
Horie Yui,Asymmetry (TV Size),173,3,3,896631
Yu-Peng Chen @HOYO-MiX,"Let's Go, Crimson Knight!",135,2,5,1435970
Hoshimachi Suisei,comet,162,10,3,1225153
