art,t,bpm,g,ln,s
DJ YOSHITAKA-G feat. Michael a La Mode,Gold Rush,162,2,2,13879
Shin Agnes,Shining Star (TV Size),169,3,2,885878
ORANGE RANGE,Ikenai Taiyou,145,4,3,1208
Hashimoto Miyuki,Symphonic Love,144,2,3,16964
S.H.E,Superstar,92,5,4,18007
The Flashbulb,Passage D,180,10,5,400300
Memme,Tantanmen,185,10,5,1296282
CG5,Battle! Wild Pokemon (Dubstep Remix),185,2,5,481675
Hanazawa Kana,Yuki ni Saku Hana (TV Size),70,3,3,78910
MUZZ,In The Night (feat. Sullivan King) (Cut Ver.),175,10,2,1573693
+Plus,Canvas (TV Size),112,3,3,36187
Camellia,introduction - INSANE INFLAME,172,10,2,1081920
Ling tosite sigure,KIMITOOKU,150,4,3,458931
Hana,Sakura no Uta,180,2,3,440068
Nothing But Thieves,Amsterdam,168,4,2,703956
NILFRUITS,Salvador,180,5,3,1541499
in love with a ghost,goodbye earth i'm taking my spaceship to explore the universe,145,10,5,1763834
Giorgios Alkaios & Friends,OPA,121,13,14,16593
KKOMDA,Hutao's Costume party!,124,2,5,1619052
Spira Spica,Twinkle (TV Size),178,3,3,1161262
INUMO KUWANEEYO,PRINCE,168,5,3,1614553
Chata,Nocte of desperatio,98,3,3,178685
MiddleIsland,"Piano Concerto No.1 ""Scream""",165,12,5,110126
"Wake Up, May'n!",One In A Billion (TV Size),187,3,3,1627165
Eri Sasaki,Last Diary,161,5,3,1734128
Hiromi Sato,Jiyuu no Hane,96,2,3,561640
Klava Koka & NILETTO,Crush,150,5,12,1246201
Yeek,Freaky (RGB),145,9,2,1719062
Okui Masami,Good-bye crisis,178,2,3,23975
Hayami Saori,Sono Koe ga Chizu ni Naru (TV EDIT),161,3,3,395252
Nishiura Tomohito,Omoide no Teien,76,2,5,329707
Hata Motohiro,Rain,92,3,3,131044
Toby Fox,Holiday Studio,115,2,5,1643205
AKIRA,Aoki Tsuki Michite -TV Size Ver.-,102,3,3,215137
Lia,Bravely You (TV Size),150,3,3,334239
EastNewSound,Lucid Dream,170,2,3,20826
Roselia,Shin'ai,138,5,3,765499
Always Never,Canadian Dubai,70,9,2,1005781
Boys Like Girls,The Great Escape,150,4,2,36290
Apocalyptica,Last Hope,170,4,5,199452
sphere,Non stop road (TV size),175,3,3,546703
Kurosaki Maon,ANSWER,141,2,3,74152
The Red Jumpsuit Apparatus,Face Down,186,4,2,619824
ZUN,Sleepless Night of the Eastern Country,160,2,5,12011
Sangatsu no Phantasia,PINK LEMONADE (TV Size),191,3,3,890173
ANZA,Tobira wo Akete (TV Size),124.4,3,3,32433
ChouCho,Kawaru Mirai,167,3,3,278961
Petit Vampire,Kyun! Vampire Girl,145,2,3,1143373
Shikata Akiko,Utau Oka -Harmonics EOLIA-,210,2,3,383211
Ben Briggs,Yes (Maybe),128,10,2,964357
Tsumiki,phony,170,5,3,1533832
Evanescence,My Immortal,149.77,4,2,30069
PNGN6,Renai Jiyuu Shoujo (Short Ver.),166,3,3,14428
Ashley Tisdale,Crank it Up,114,5,2,10874
Rin,Koumakan set 16 ~ Kourou,128,2,5,1006601
Lotus Juice & Shihoko Hirata,Dance!,134.5,2,2,486684
Hatsune Miku,SPiCa,162,4,3,16226
HAG,Shoujotachi no Owaranai Yoru,186,5,3,1094649
SHIKI,Jade Star,152,10,5,1009328
Yorushika,Dakara Boku wa Ongaku o Yameta,125,5,3,1392760
umu.,Dareka no Shinzou ni Nareta Nara,145,4,3,1098181
UNDEAD,Valentine Eve's Nightmare,210,5,3,1374903
Oomori Seiko,JUSTadICE (TV Size),185,3,3,1177969
Aoi Eir,JUMP!!!,188,4,3,1147278
Little Non,Hanamaru Sensation,190.04,3,3,2207
Nanahira,Shikinkyori * Lover,180,5,3,71801
Release Hallucination,Lovers in Abyss,254,11,3,1699234
Choucho,Kawaru Mirai,167,3,3,38337
Ariabl'eyeS,Labyrinth,170,4,3,1301895
Jefaischierlesgens,Clignancourt,150,6,7,255629
Tokisawa Nao,BRYNHILDR IN THE DARKNESS -Ver. EJECTED-,217.92,3,5,170604
FELT,Hail Storm (MZC A BraneWalker House Remix),134,2,3,189480
Dictate,Militant,172,10,5,785677
Demetori,Shoujo Satori ~ Innumerable Eyes,190,2,5,288656
Laava,Wherever You Are,138,2,2,11909
Earth Star Dream,Hashire! Usakame Koukou Tennis-bu!! (TV Size),175,3,3,1108575
Infected Mushroom,The Legend of the Black Shawarma,145,10,2,532552
Rammstein,Du Hast,125.1,4,8,4503
Misato Aki,Glitter,180,2,3,365826
STRIKE WITCHES 2,Over Sky (TV Size),168,3,3,20017
Kamiyama Yoh,Iro Kousui (TV Size),148,5,3,1368923
TrySail,whiz -TV.Ver-,171,3,3,406025
Namikawa Daisuke,The Delicious Tomato Song,150,3,3,22228
Tegomass,Kimi + Boku = Love? (TV Size),158,3,3,9036
Haru,Voyage 1969 (Instrumental),117,2,5,7034
Eine Kleine,Dorothea,244,11,3,1241592
Kelly Clarkson,My Life Would Suck Without You,145,5,2,8993
Hatsune Miku,Chaining Intention,140,5,3,18932
a*ru,Kizuato,173,2,3,569843
Underoath,You're Ever So Inviting,180,4,2,324586
Silver Forest,Setsuna ni Chiroutomo,152,2,3,23065
himmeltengoku,Whisper of Rose,175,13,5,173614
After the Rain,Moua,184,4,3,1594928
Ariabl'eyeS,Ruisou Automata,180,4,3,1414648
Maksim Mrvica,Croatian Rhapsody,96,12,5,54016
KOTOKO,bumpy-Jumpy!,190,2,3,822997
Traktion,Metropolis (Original Mix),175,10,5,359549
Zetsubou Shoujotachi,Zetsubou Restaurant,150,3,3,450762
EXiNA,DiViNE (TV Size),203,4,3,1472043
Adventure Club,Fade (feat. Zak Waters),134,10,2,416426
Satellite Empire,Thrones (Crystal Skies Remix),85,10,2,712799
Ceui,COLORFUL DAYS!!,182,2,3,70744
Aoyama Mio starring Yuuki Aoi,Platinum,164,3,3,181361
Chata,Boku no Tonari de Koi o Shite!,182,2,3,799418
Yuiko Ohara,Iwanai kedo ne.,115,3,3,720223
nowisee,Koinu,176,5,3,1049065
Ryu*,Sakura Reflection (MYTK Remix),150,10,5,288486
Magical Trick Society,Investigation ~ Cornered,150,2,5,130
ChouCho,Yasashisa no Riyuu (TV Size),177,3,3,48147
IAMX,Tear Garden,156,4,2,690400
minato,SECRET & TRAP,129,10,3,274593
Lucky Star Cast,Kaeshite! Knee Socks,180,3,3,2267
Ito Kashitaro,Kyouhansha,155,4,3,742085
yanaginagi,Aqua Terrarium,118,3,3,130504
Jay Park,JOAH,86,5,6,429435
nanobii,popsicle beach,174,10,5,848068
Imany,Don't Be So Shy (Filatov & Karas Remix) (Nightcore Mix),150.43,5,2,634851
Uchida Aya,Blueberry Train,172,3,3,126961
in love with a ghost,interdimensional portal leading to a cute place feat. snail's house,121.25,10,5,1772648
Chata,D Senjou no Koi no Uta,168,5,3,61414
Kuribayashi Minami,sympathizer (TV Size),193,3,3,19725
Mili,Vulnerability,166,6,5,835194
Kita Shuuhei,Sekai no Hate ni Kimi ga Itemo (TV Size),193,3,3,158142
POLKADOT STINGRAY,Telecaster Stripe,142,4,3,969845
Megpoid GUMI,Checkmate,196,4,3,50835
Kae Hanazawa,Sailor Star Song,141.9,3,3,5201
nameless,Shirayuki,210,4,3,493305
Numtack05,Ansatsusha! 2010 Fuyu,126,14,3,703515
REDALiCE,taboo tears you up,180,2,3,7224
kessoku band,Guitar to Kodoku to Aoi Hoshi,193,4,3,1888886
Haruna Luna,Kimiiro Signal,164,3,3,326621
Yumeno Yuki,sign,132,2,3,887128
REDALiCE,MERLIN,180,2,5,1024220
Krewella,Greenlights,160,10,2,1095717
Korn,Word Up,116,4,2,9290
SMiLE.dk,Doki Doki,140,5,2,14500
ALTIMA,Burst The Gravity (TV Size),148.02,3,3,54839
HO-KAGO TEA TIME,Utauyo!! MIRACLE (TV Size),161.5,3,3,18589
THE ORAL CIGARETTES,ReI,186,4,3,1465638
Various Artists,Rolling Girl,195,4,3,965620
Asaka,Edelweiss,164,3,3,669613
SPLAY,Drawing Days (TV Size),175.98,3,3,8838
mary,Kimi no Yozora Shoukaihan,185,4,3,1409421
Yoko Shimomura,Night of Fate,172,2,5,22735
AKITO,Sakura Kagetsu,138,2,5,119
Shikata Akiko,Umineko no Naku Koro ni (Short Ver.),220,13,3,1636444
Higashi - no - Seizon Penguin,Gensou Propaganda,175,2,5,323289
Shinichi Sakamoto,The Last Dungeon,150,2,5,3087
Bring Me The Horizon,Can You Feel My Heart,128,4,2,221860
Nanahira,Monosugoi Space Shuttle de Koishi ga Monosugoi Uta,175,2,3,615268
KOTOKO,Koi Kou Enishi,144,2,3,622780
Yumi Haruna,Amai Hanazono(Game Version),112,2,3,269177
Camellia feat. Nanahira,"senpai, notice me!",155,10,2,962092
Matrix & Futurebound ft. Luke Bingham,All I Know,174,10,2,775765
DAOKO x Kenshi Yonezu,Uchiage Hanabi,96,3,3,654473
suzumu feat.soraru,Zetsubousei: Hero Chiryouyaku The Animation,205,3,3,360441
ONE OK ROCK,Memories,175,4,3,684590
Camellia,Quaoar,174,10,5,836856
BABYMETAL,Divine Attack - Shingeki - (Cut Ver.),180,11,3,1907043
onoken,unisonote,168,10,5,1276405
Daisy x Daisy,Aoi Tsuki,183,2,3,968777
kors k,Wuv U,173,2,5,34556
Kagura Nana,Kodou (TV Size),90,5,3,1509265
Chata,Reviver,158,2,3,177490
Re-venge/De-Sire/DJ Smalls,Tsugaru Japan,180,2,5,1838
Inugami Korone & Nekomata Okayu,Hyadain's Jojo Yujo,200,3,3,1279298
Usa,Romeo and Cinderella,170,4,3,27122
HYUNA,Bubble Pop!,146,5,6,641784
Ushirokara Haiyoritai G,Taiyou Iwaku Moeyo Chaos (TV Size),143,3,3,47184
Pastel*Palettes,Baby Sweet Berry Love,170,2,3,936984
Kousaka Honoka (CV: Nitta Emi),"Natsuiro Egao de 1, 2, Jump! (HONOKA Mix)",170,3,3,827594
ZUN,Necrofantasia,164,2,5,18807
009 Sound System,Dreamscape,123,10,2,1234921
SawanoHiroyuki[nZk]:Tielle & Gemie,sh0ut,106,3,2,641854
Halozy,Genryuu Kaiko,173,2,3,405051
Nobuo Uematsu,Final Fantasy VI Battle Theme,169,2,5,8185
Moonbaby,Here We Go,158,5,2,145621
Hashimoto Miyuki,to the sky (Short Ver.),166,2,3,41336
Iguchi Yuka,RE-ILLUSION (TV Size),193,3,3,604075
Petit Rabbit's,Nichijou Decoration,125,3,3,187595
Kajiura Yuki,crossing a dangerous bridge,86,3,5,1019198
cYsmix,Peer Gynt,140,10,5,880487
TATU,All About Us (Single Version),162.08,5,2,5886
Hatsune Miku,Clock Lock Works,186.68,5,3,11202
Megurine Luka,LukaLuka Night Fever,160,10,3,11322
Joey Trap,Shapes,170,9,2,1116883
Masashi Hamauzu,FFXIII Battle Theme,163.96,2,5,7025
DJ Mendez,Tequila,182.4,9,10,23492
HO-KAGO TEA TIME,Tenshi ni Fureta yo! (Asterisk DnB Remix),175,3,3,881769
Alan Walker,Faded,90,10,2,461191
Ray,lull ~Soshite Bokura wa~ (TV Size),133,3,3,150571
cYsmix feat. Emmy,Tear Rain,128,2,3,140618
Kajiura Yuki,Run!Cat!Run!,170,3,5,144338
DJ NAGAI feat. a*ru,Benibotan,181,2,3,548679
Aqours,MIRACLE WAVE (TV Size),183,3,3,792461
A-ya (CV: Ogata Megumi),Kodoku no Kakurenbo,220,4,3,1044564
DJ TOTTO,Windy Fairy,180,2,5,298245
lapix,Day by day (PSYQUI Remix),170,10,5,1318545
Tenacious D,Tribute,84.66,4,2,3678
Rie Kugimiya,Suki? Kirai!? Suki!!!,168,3,3,9517
Rigel Theatre,Rinn Ding Dong,122,13,3,804648
Nekomata L.E.D.Master+,Chrono Diver -PENDULUMs-,196,2,5,813683
CHiCO with HoneyWorks,color,180,5,3,865497
Faylan,God FATE (TV Size),195,3,3,78227
Ke$ha,Tik Tok (Rom.C Remix),131,5,2,16220
syudou,Gambling (TV Size),196,4,3,1515350
Marmalade butcher,Amanita,194,4,5,1473778
Afromania,Minna no Peace,212,3,3,496
lasah,NILGIRI,125,5,3,1212174
HoneyWorks,"Yooshi, Ganbaru zoo!",155,3,5,1077900
Cat Nap,Beyond,103,10,5,906820
Tackey & Tsubasa,"One Day, One Dream (TV Size)",160,3,3,81107
Yooh,Destroy -agitato-,195,2,5,839273
DragonForce,Seasons,193,11,2,762958
egor nats,ya zhenyus' na devochke iz anime,159.88,10,12,947717
ShinRa-Bansho,Junjou Armeria,175,2,3,1220848
Yamajet feat. Hiura Masako,Sunglow,180,2,3,712172
Cutline,Die For You (Shock One Remix),175,10,5,166435
May'n,Kyou ni Koiiro,170,3,3,425190
Gakuen Seikatsu Bu,Friend Shitai,148,3,3,330147
Amatsuki,Astro Lost (Cut Ver.),185,5,3,1173442
Rin'ca,Koisuru MODE,196,5,3,1457658
fripSide,fortuna on the Sixteenth night,146,2,3,132601
Megadeth,Grabbag,166.97,2,2,7077
nano.RIPE,Last Chapter (TV Size),181,3,3,1623255
Ceui,Finest Sky,176,2,3,437407
Horie Yui,Coloring,117,3,3,45144
Raujika,Cry More,175.14,6,5,102393
ALEX TERRIBLE,Last Christmas,106.75,6,2,1635494
Sagittarius,Raise the FLAG,188,3,3,753514
Yu-Peng Chen @HOYO-MiX,Nimble as Lightning,200,10,5,1366894
Taka A.K.A Otokaze,Saigetsu (Short Ver.),102,6,5,47744
nano.RIPE,Hana no Iro (TV Size),180,3,3,30567
DJ TOTTO feat.3L,Youkakushi -Ayakashi Kakushi-,169.95,2,3,516454
fripSide,sister's noise (TV Size),144,3,3,87689
Pastel*Palettes,Q&A Recital!,182,2,3,1003383
Sharlo,Fuwafuwa,180,5,3,58291
Seth Everman,"how to create the weeknd's ""blinding lights""",171,10,5,1226588
Suda Keina,veil,150,3,3,1023081
Yanagawa Kazuki,Whisp,168,2,5,1949669
Scenarioart,Sayonara Moon Town (TV Size),196,4,3,1802118
Study,Never Give It Up!! (TV Size),163,3,3,1130467
Tamiyasu Tomoe,Dakko Shite Gyu!,176,2,3,20748
Skytree,Duet,122,2,3,434556
Hatsune Miku,Happy Fruit!,192,4,3,13387
Seven Billion Dots,Stay With Me (TV Size),135,3,3,1055103
Tamura Yukari,Endless Story,187,3,3,38426
RO-KYU-BU!,Party Love ~ Okkiku Naritai ~ (TV Size),176,3,3,35861
Mirami,Sexualna,130,5,14,686669
SixTONES,NAVIGATOR (TV Size),146,3,3,1268188
SisterS,Umarun Taisou(TV size),170,3,3,680251
Ichigo Mashimaro Cast,Ichigo Complete (TV Size),160,3,3,125943
MODEL,Bir Melek Vardi,140,4,14,167221
JAM Project,Ryuusei Lovers (TV Size),155,3,3,37275
Yousei Teikoku,Gekkakou,160,2,3,737644
Clinton VanSciver & Swedish Egil,Love Letters (MitiS Chilled Overnight Remix),146,10,2,116068
UNLIMITS,Haruka Kanata (TV Size),202,3,3,876133
fripSide,Hesitation Snow,135,2,3,53925
Chemistry,Period,128,3,3,12145
Toyama Kasumi (CV.Aimi),Dokidoki SING OUT!,194,3,3,623515
Masayoshi Minoshima,The Last Judgement,140,2,3,14924
Panic! at the Disco,The Only Difference,170,4,2,16279
TERRASPEX,AMAZING BREAK,153,3,3,571835
Miyuki Hashimoto,Princess Primp!,162,3,3,10165
Trey Parker,Gay Fish,173.04,9,2,6526
Evanescence,Lacrymosa,137,4,2,360491
Sahashi Toshihiko,Tachiagaru Nakamatachi,94,3,5,296874
SPYAIR,Genjou Destruction,194,3,3,484981
MAHO-Dou,Ojamajo de BAN^2 (TV Size),148,3,3,50822
ICHIKO,I Say Yes [TV Size],83.5,3,3,7504
NIVIRO,The Return,128,10,2,1049327
TUYU,Daemonisch,200,5,3,1445696
Kano,Hikari no Michishirube (TV Size),85,3,3,1073862
Breeze vs. Lost Witness,Rise Again,170.01,10,2,9998
Kanon Wakeshima,Heroine Syndrome,150,5,3,18776
kamome sano Electric Orchestra,HE4VEN ~Tengoku e Youkoso~,256,2,5,597797
Toyosaki Aki,Guitar ni Kubittake,185,3,3,20646
LeaF,Mopemope,200,10,5,1097600
The Lion King,I Just Can't Wait to Be King,98.91,7,2,307
Queen,Killer Queen,117.6,4,2,1007069
Kano,Daisy Blue,184,5,3,758130
Serj Tankian,Sky Is Over,105,4,2,46304
Sekirei Cast,Sekirei (TV Size),148,3,3,12750
Arctic Monkeys,I Bet You Look Good on the Dancefloor,206.35,4,2,39217
Ruru Ichinose,Hinarin's Relation of Misfortune,175,2,3,12344
Azusa Tadokoro,Junshin Always,180,3,3,405053
YUPPA,Mimikyu no Uta,96,2,3,696351
Imy feat. Aitsuki Nakuru,Zanshou no Resonance,175,4,3,1147203
Namikawa Daisuke,Marukaite Chikyuu,128,3,3,17221
"Taneda Risa, Suzaki Aya, Ichimichi Mao, Tadokoro Azusa",Ichiban Boshi (TV Size),104,3,3,176066
Nico Nico Douga,Misaka Odoru,113,3,3,10891
Owl City,Angels,123,5,2,32179
Apink,U You,97,5,6,383985
Shikata Akiko,Wokashi,155,13,3,1233709
TUYU,Namikare,204,5,3,1115515
Creepy Nuts,Daten,200,4,3,1802803
Inori Minase,Aimaimoko (TV Size),133,3,3,1678075
Saitou Chiwa,staple stable (TV Size),129,3,3,43216
Crush 40,Knight of the Wind,170,2,2,3822
Kageyama Shota,Accumula Town,112,2,5,1743949
Mrs. GREEN APPLE,Tomoshibi,185,4,3,1130594
Kopophobia & Ajataa,Starfall,240,10,5,1796476
GALNERYUS,DESTINY,184,11,3,1340228
Yousei Teikoku,Astral Dogma,180,11,3,1873578
USAO,Extra Mode,195,10,5,1774332
hapi,THE MEDLEY OF POKEMON RGBY+GSC -3PBs-,190,2,5,150054
Halozy,Genryuu Kaiko,173,2,3,251437
Nelly ft. Fergie,Party People,164.01,9,2,12721
Pendulum,Propane Nightmares (Celldweller Remix),174,10,2,213098
Receptor,Redstar,174,10,5,184301
HAG,Dokuhaku,170,5,3,1093876
Aiobahn & Yunomi,Ginga Tetsudou no Penguin ft. nicamoq (Stripe.P Remix),110,10,3,520141
chano & 40mP,Natsukoi Hanabi,158,4,3,652293
DJ Sharpnel,IVALTEK,208.1,10,2,50429
SAVE THE QUEEN,EX-Termination,256,2,3,50181
blink-182,Heart's All Gone,160,4,2,421518
No Life Negotiator,LOST GARDEN,172,2,3,51743
All Time Low,Under A Paper Moon,153,5,2,798497
Mikakuning!,Tomadoi Recipe,170,3,3,154114
CHiCO with HoneyWorks,Minikui Ikimono (TV Size),195,3,3,1369259
Peter Crowley Fantasy Dream,The Ancient Forest Of Light,175,6,5,323314
Sakakibara Yui,Love Comp! (Short Ver.),165,2,3,41610
Mizuki Nana,STARTING NOW! (TV Size),182,5,3,1684194
Mutsuhiko Izumi,Red Goose,200,2,5,46239
MUZIK SERVANT feat. TAM,Upright Blue,175,2,3,56450
Lifetheory,Lullaby For A Tough Guy,168,10,5,1202258
Hyadain,CRASH!! (Let's do it),135,2,3,2434
Bo Burnham,Welcome to the Internet,95,7,2,1520101
VINXIS,Sent from my ipod recorder (VINXIS Edit),190,3,3,1140226
V.W.P,Reincarnation (TV Size),186,3,3,1675997
GET IN THE RING,Rebirth,150,2,3,601865
Kano,Himekoi,155,5,3,691227
Ni-Sokkususu,Blade Dance,187,3,3,680533
Zeami,Music Revolver,168,2,5,53231
CHiCO with HoneyWorks,Gamushara (TV Size),194,4,3,1513461
Takahashi Yoko,Zankoku na Tenshi no These (TV Size),128.83,3,3,806105
SHK,Identity Series Nonstop Play (part. 1~5),150,10,5,1728804
Sayuri,Koukai no Uta (TV Size),180,3,3,1054062
15 Voices,Non-breath oblige,148,5,3,1889729
Shikiura.,Garandou no Nou ni Ai o Choudai,186.5,4,3,1791812
angela,ANGEL,184,3,3,257301
TERRA,ever snow,145,2,3,1654021
Hanatan,Kokoronashi,168.16,4,3,829414
Pentatonix,Daft Punk,133,5,2,292896
BanYa,Blazing,158,2,5,7284
Sun Yi Qi,Jiu Zui De Hu Die (DJ He Peng Version) (Cut Ver.),95,10,4,1294231
Logistics,Let The Senses Clear Your Mind,174,10,2,1204169
765PRO ALLSTARS,The world is all one!! (TV Size),167,3,3,38050
Amane,BOOZEHOUND,165,2,5,9995
All Levels at Once,Changeling,130,10,2,68169
Masuda Junichi,Kessen! N,190,2,5,1084585
L i z z,Answer,115,5,2,60744
T-ara,I Go Crazy Because of You,135,5,6,49776
BURNOUT SYNDROMES,PHOENIX (TV Size),137,3,3,1092982
ChouCho,Haiiro no Saga (TV Size),184,5,3,1275733
kz (livetune) x 8#Prince,Weekender Girl,132,10,3,60488
Blind Channel,Dark Side,196,4,2,1479967
Hatsune Miku,Baby Maniacs (Short Ver.),132,10,3,42589
Kataoka Manaka & Asahi Atsuko,Able Sisters,154,2,5,1773284
Ellie Goulding,Salt Skin,172,5,2,26745
Owl City,Butterfly Wings,120,5,2,93274
t+pazolite feat. Rizna,Boom Boom Taoismic,175,10,3,104867
Mindless Self Indulgence,Bullshit,106,4,2,5324
xi,Wish upon Twin Stars,200,2,5,242462
HTT,Tenshi ni Fureta yo!,117,3,3,40568
BACK-ON,wimp feat. Lil' Fang (from FAKY) (TV Size),186,3,3,597093
Fujikawa Chiai,Bakemono to Yobarete (TV Size),175,3,3,1309477
Duca,eyes to eyes,131,2,3,805869
Onishi Aguri,Hajimaru Welcome (TV Size),142,3,3,1988411
Sangatsu no Phantasia,Collage,138,3,3,853833
K'naan,Wavin' Flag,152,6,2,13975
fripSide,precious time (Short Ver.),139,2,3,1723218
t e l e p a t h Telepathy Nouryoku-sha,Eien ni Ikiru,80,2,5,799399
ClariS,Kite (Cut Ver.),154,5,3,1212689
xi,Glorious Crown,225.5,10,5,1697518
zts,lastendconductor,139,2,3,685558
sweet ARMS,Date in Utopia,196,4,3,1304889
Joe Rinoie,Heavy Metal Anthem,180,3,5,24826
tsunamix_underground,Period. ~ Seishin no Kousoku to Jiyuu o Tsukamu Jouka (Cut Ver.),150,10,5,1742131
Mile (CV: Waki Azumi),Genzai Banzai (TV Size),133,3,3,1048637
Wakeshima Kanon,killy killy JOKER,180,3,3,927407
Nightwish,Last Of The Wilds,138,4,5,297141
GOATBED,AI CATCH (Short Ver.),144,2,3,55407
ISHIDA YOKO,COLORFUL BOX,161,3,3,290161
Backstreet Boys,As Long As You Love Me,98.21,5,2,41742
Chata,Hoshizora no Memoria,146,2,3,34837
a_hisa,Pastel Subliminal,187,10,5,603051
livetune adding Yuuki Ozaki(from Galileo Galilei),FLAT TV size edit.,180,3,3,142915
Tsukiko Amano,SPY,180,3,3,12830
AiRI,Kimi to Tsukuru Mou Hitotsu no Mirai,134,2,3,643715
Demetori,Emotional Skyscraper ~ World's End,178,2,5,13204
Muse,Panic Station,105,4,2,60189
IAMX,Think Of England,145,4,2,19407
Castlevania,Heart of Fire,127.89,2,5,3906
Sota Fujimori,DANCE ALL NIGHT,135,2,5,600303
KOTOKO,U,180,4,3,1440106
Matsumoto Fuminori,ZYPRESSEN wa Sakura ni Kawaru,83.92,2,5,448736
LilPri,Happy Go Lucky (TV Size),160,3,3,42647
Linkin Park,From the Inside,126.75,4,2,23977
Vaundy,Hadaka no Yuusha (TV Size),163,4,3,1672282
Kawano Marina,Sono Koe wo Oboeteru (TV Size),170,3,3,118973
Halozy,Shining / STREAM,155,10,3,1713008
Mahito Yokota,Purple Comet,147.98,2,5,25949
Bee Gees,Stayin' Alive,103.66,5,2,3765
Asaka,SHINY DAYS (TV Size),110,3,3,1127355
Kamui Gakupo,Paranoid Doll,130,4,3,33973
Machico,Magical Happy Show!,145,2,3,52796
"Inori Minase, Sakura Ayane",Senryakuteki de Yosoku Funou na Love Comedy no Ending Kyoku,197,5,3,1619893
Shannon feat. GUMI & Hatsune Miku,The Last War of Us,120,5,3,1754382
fhana,divine intervention (TV SIZE),176.5,3,3,223057
gi(a)rlish number,Ima wa Mijikashi Yume Miyo Otome,200,3,3,522393
supercell,Sayonara Memories,160,5,3,11932
Nisshoku Natsuko,Suiryuu no Rock,150,4,3,582350
Se-U-Ra,LOA2,202,10,5,929622
Junichi Masuda,Vermilion City,126,2,5,7204
KARD,Bomb Bomb,103,5,6,950639
Kuroneko Dungeon,Ryoushi no Umi no Lindwurm,280,2,5,742648
Denkishiki Karen Ongaku Shuudan,Watch out!,169,11,3,1130504
Maeshima Mayu,story (TV Size),220,3,3,1804158
void,Sun Goes Down (BMS edit),173,10,5,382413
Duncan Watt,Dominion,119.95,2,5,41529
Giga x Mitchie M,Wah Wah World feat. Hatsune Miku & Kagamine Rin,160,2,3,1262989
One Direction,One Way or Another (Teenage Kicks),162,5,2,99274
UNISON SQUARE GARDEN,Nonfiction Compass,184,3,3,929596
Abai Begei,Aspanga qaraimyn (Cut Ver.),140,5,14,1200909
TJ.Hangneil,Kamui,210,10,5,39017
Tennoji Rina (CV: Tanaka Chiemi),Analog Heart,135,5,3,1289150
Wakeshima Kanon,killy killy JOKER (TV Size),180,5,3,1258913
Zips feat. Kagamine Len,Outlaw no Shoushin,210,4,3,1409201
jioyi,Platinum,182,2,5,553237
Demetori,Furuki Yuanxian ~ Death Echo,200,2,5,291517
Monobright,Anata Magic (TV Size),158,3,3,16350
THE ORAL CIGARETTES,Sesshoku,196,4,3,1768029
TrySail,High Free Spirits -TV.Ver-,186,3,3,442135
Aice5,Love Power (TV Size),180,3,3,793724
Little Glee Monster,Kimi ni Todoku made (TV Size),110,3,3,990308
Rita,Winter Diamond,190,2,3,1010886
CustomiZ,Kai (TV Size),220,4,3,1752237
SOUND HOLIC,Mayonaka*Sukaidaibu,172,2,3,19826
Kicco,Kokoro Hare (Short Ver.),135,2,3,55318
Ray,ebb and flow (TV Size),106.1,3,3,141232
Eminem,River feat. Ed Sheeran,90,9,2,770477
Aqours,"Bouken Type A, B, C!!",194,2,3,1029085
P4koo,Captivity (feat. Tsuyuri Karin),196,4,3,1289574
Iguchi Yuka,UNLOCK (TV Size),186,3,3,788865
Muse,MK Ultra,155,4,2,14217
Lucky Star Cast,Nande Dattakke Idol? (Short ver.),170.02,2,3,12610
SYNC.ART'S feat. Misato,Re:Production,150,2,3,25525
VESPERBELL,RISE,194,4,3,1521677
coldrain,We're not alone,125,3,2,134195
Krewella x Diskord,Beggars (Consouls Remix),174,10,2,881753
Fukuyama Yoshiki,Makka na Chikai (TV Size),185,3,3,1191279
Lady Gaga ft. Space Cowboy,Christmas Tree,109,5,2,11137
Reol,Midnight Stroller,140,5,3,388428
Freezer feat. Kiichigo,Chocolate Planet,185,2,3,1258377
THE ORAL CIGARETTES,Daikirai,180,4,3,1026283
Another Infinity feat. Mayumi Morinaga,Glitter (Starving Trancer Remix) (TV Size),140,3,3,123793
Sta,Shadows in the Light,185.41,2,2,504690
Inferi,Those Who from the Heavens Came,250,11,2,1516931
Ice,Parodia Sonatina -Grande-,170,2,5,1643232
Yooh,Dignity -alzando-,193,2,5,933491
nora2r,B.B.K.K.B.K.K. (Extended Mix),170,2,5,548873
Diao Ye Zong feat. Kushi,Yuumeikyou o Wakatsu Koto,151,2,3,1247908
Luze,IKUSAUTA Orglrya,250,10,5,1747268
Camellia,"FLYING OUT TO THE SKY (covered by Nanahira, moimoi, Nana Takahashi)",244,11,3,1212452
Various Artists,Yuruyuri Songs Compilation,190,3,3,452417
THE ORAL CIGARETTES,Kyouran Hey Kids!!,142,3,3,1711510
FATE GEAR,Headless Goddess,175,11,3,1634659
Teminite & MDK,Space Invaders,128,10,5,1130689
Camellia,Stealth-Dash,174,10,5,1115790
Denkishiki Karen Ongaku Shuudan,Silver Orbit,180,11,3,1062758
Hoshimachi Suisei,GHOST,182,5,3,1639652
Crywolf,Eyes Half Closed,135,10,2,1049043
TWICE,PIT-A-PAT,178,5,6,1099733
