art,t,bpm,g,ln,s
supercell,Kimi no Shiranai Monogatari -TV Edit-,165,3,3,342896
RADWIMPS,Yume Tourou,178,3,3,597111
Hanasaka Yui(CV: M.A.O),Harumachi Clover,142,3,3,652412
Kenshi Yonezu,Peace Sign (TV edit.),200,3,3,594429
"The Kid LAROI, Justin Bieber",Stay,170,5,2,1575739
Foreground Eclipse,I Bet You'll Forget That Even If You Noticed That,195,2,3,601135
Tia,The Glory Days,184,3,3,503486
Ni-Sokkususu,Blade Dance,187,3,3,745312
beatMARIO,Night of Knights,180,2,5,352570
bradbreeck,Step Off Playa,140,3,2,558938
THE ORAL CIGARETTES,ReI,186,4,3,842981
DJ Genericname,Dear You,174.11,10,3,74586
nano,"No pain, No game (TV Size)",190,3,3,1184314
Suzuyu,Mezameta Asa ni wa Kimi ga Tonari ni (TV Size),140,3,3,143812
Remo Prototype[CV: Hanamori Yumiri],Sendan Life,227,3,3,416153
Loki,Wizard's Tower,175,11,5,985788
ELISA,Dear My Friend -Mada Minu Mirai e- (TV size),129,3,3,402631
S3RL feat Mixie Moon,FriendZoned,175,10,2,409164
Akaza Akari(CV:Mikami Shiori),"Watashi, Shuyaku no Akaza Akari desu",190,3,3,313330
THE ORAL CIGARETTES,5150,192,4,3,818778
VINXIS,Sidetracked Day (Short Ver.),188,10,5,771159
Daniel Ingram,Pinkie the Party Planner,124,3,2,153891
DZIDZIO,Yalta,128,7,14,485903
Nanamori-chu*Gorakubu,Acchu~ma Seishun!,184,3,3,451830
Hanasaka Yui(CV: M.A.O),Harumachi Clover,142,3,3,557832
RAISE A SUILEN,HELL! or HELL?,197,4,3,1251944
DECO*27,First Storm feat. Hatsune Miku,190,4,4,696175
Hai Nan,Ai La La,120,5,4,118459
NICO Touches the Walls,Niwaka Ame ni mo Makezu,186,3,3,378559
yuikonnu,Ghost Rule,210,4,3,440650
Natsume Chiaki,Hanairo Biyori,182,6,3,143397
Nogizaka46,Yubi Bouenkyou (TV Size),180,3,3,1178935
Foreground Eclipse,From Under Cover (Caught Up In A Love Song),200,4,3,462386
Diana Garnet,Spinning World (Anime Ver.),170,3,3,420458
LVTHER,Some Kind Of Magic (Feat. MYZICA),168,5,2,751751
Will Stetson,POP/STARS,85,2,2,917345
HAG,Colorful,192,5,3,931452
THE ORAL CIGARETTES,Amy,182,4,3,785544
Fellowship,Glory Days,178,11,2,1781620
Bowling For Soup,Today is Gonna be a Great Day (TV Size),180,4,2,1209835
Konuko,Toumei Elegy,220,4,3,219380
Unique,Fekete feher,132,5,14,266003
Darren Korb,"Setting Sail, Coming Home",120,4,2,108461
m1v,you,173.9,5,2,1685799
GRANRODEO,Can Do (TV Size),200,3,3,493273
kradness&Reol,Remote Control,165,10,3,351630
MISATO,Necro Fantasia,175,2,3,230367
RADWIMPS,Katawaredoki,130,3,5,608723
supercell,Kimi no Shiranai Monogatari -TV Edit-,165,3,3,773801
Poppin'Party,KIZUNA MUSIC,189,3,3,1425749
CHiCO with HoneyWorks,Kessen Spirit,188,3,3,1118112
Sim Gretina,Apples To The Core (Remix),126,6,2,143823
Drop,Granat,180.96,6,5,219763
Rammstein,Los,124,4,8,235551
Fujijo Seitokai Shikkou-bu,Best FriendS -TV Size-,163,3,3,130104
Nakanoke no Itsutsugo,Gotoubun no Katachi (TV Size),158,5,3,1330999
Tsubaki,Kyun Kyun Tamaran Inaba tan!,180,2,3,35219
supercell,Kimi no Shiranai Monogatari -TV Edit-,165,3,3,627110
Izumi Akazawa (CV. Madoka Yonezawa),Responsibility Response,202,3,3,495332
Paramore,Still Into You,136,4,2,301830
UROBOROS,Black Swallowtail (TV Size),204,3,3,792964
Wakeshima Kanon,Tsukinami,180,5,3,896080
ONE OK ROCK,Take me to the top,196,4,3,790895
Tsubaki,Kyun Kyun Tamaran Inaba-tan.,180,2,3,98711
Hoshikawa Sara,Vampire,164,5,3,1457867
Ikimono Gakari,Netsujou no Spectrum,160,3,3,232935
ClariS,SHIORI vs. Hitorigoto,176,3,3,707380
RADWIMPS,Nandemo Nai ya,84,3,3,515939
7!!,Lovers (TV Size),164,3,3,28690
Telekinesis,The Monk,174,10,5,381529
Nakanoke no Itsutsugo,Gotoubun no Kimochi (TV Size),175,3,3,901880
Aoi Eir,INNOCENCE (TV Size),183,3,3,61447
nano,Bull's eye,197,3,3,356357
Mikakuning!,Tomadoi Recipe (TV Size),170,3,3,152249
Lia,Bravely You (TV Size),150,3,3,338293
dark cat,BUBBLE TEA (feat. juu & cinders),160,10,5,769917
R3 Music Box,Harumachi Clover,96,3,5,861685
Syoko Hoshi (CV: Satsumi Matsuda),Zettai Tokken Shuchou Shimasu! Hoshi Syoko Solo Remix,200,2,3,546878
dj TAKA,quaver,182,2,5,423527
Ayase Rie feat. Hata-tan,Yuima-ru*World TVver.,180,3,3,726747
CHiCO with HoneyWorks,Minikui Ikimono (TV Size),195,3,3,1369259
Kero Kero Bonito,Flamingo (WTN3 Remix),110,10,3,409214
THE ORAL CIGARETTES,ReI,186,4,3,785858
Kano,Prima Stella,180,5,3,1282660
Pegboard Nerds,Try This,87,10,5,301138
Getter Jaani,Rockefeller Street (Nightcore Mix),162.5,10,2,942866
Kano,Dear Brave,188,5,3,1293358
EGOIST,"Ame, Kimi o Tsurete",184,4,3,346301
senya,Ondosa,147,2,3,420265
Panda Eyes,ILY,110,10,5,653534
SawanoHiroyuki[nZk]:mizuki,&Z (TV size),158,3,3,264147
Herve Lavandier,Shuriken School (TV Size),160,3,5,1114339
Yura Hatsuki,Yuki no Hana,142,5,3,437097
Hayley Williams,Airplanes (Feint Drum and Bass Remix),178,10,2,1189295
senya,Songs Compilation,138,2,3,119891
Puffy AmiYumi,TEEN TITANS THEME (TV Size),165,3,2,1011341
EVO+,[A]ddiction,164,5,3,378803
Silent Siren,Soukai Rock,200,4,3,437797
"Post Malone, Swae Lee",Sunflower,90,5,2,1114768
Harada Hitomi,Kyoumei No True Force,187.49,3,3,196028
Ayumi.,Hanagoyomi short version,180,2,3,323773
Tomato n' Pine,Nanairo*Namida -TV Edit-,127,3,3,305452
Okazaki Taiiku,Kimi no Bouken (TV Size),200,3,3,884581
Oku Hanako,Kimi no Hana (TV size),154,3,3,557856
Kano,Stella-rium (Asterisk MAKINA Remix),177,10,3,1456709
Feint (feat. CoMa),Snake Eyes,174,10,2,130223
yuikonnu & ayaponzu*,Super Nuko World,190,4,3,153776
Dark PHOENiX,Taketori Hishou,192,2,5,22276
