art,t,bpm,g,ln,s
Kurenainagi Tabibito,Beloved Tomboyish Girl,140,2,3,21678
Hama Takeshi,Knight's Academy,110,2,5,914740
Comp,Kyoai,160,2,3,28609
(K)NoW_NAME,STILL STANDING (TV Size),200,4,3,1661933
Aoba Ringo,Innocence,187,5,3,1178466
NICO Touches the Walls,Niwaka Ame ni mo Makezu (TV Size),186,3,3,1723066
u's,Snow halation,173,3,3,209390
Azuna Riko,Chance! & Revenge! (TV Size),158,5,3,1455661
FELT,Oblivion,182,2,2,814101
M2U,A Bella! (feat. Lucy),160,2,14,849369
NUMBER 201 feat. M.H.,THIS ILLUSION (Fate ver.),168,2,3,23800
livetune feat. Hatsune Miku,Redial,132.01,10,3,84614
Seraphine,All The Things She Said,90,5,2,1775662
Wolpis Kater,Oxalis,252,4,3,1347859
My Chemical Romance,Helena,251.82,4,2,320194
Uehara Rena,Todokanai Koi '13 (TV Size),135,3,3,1132232
Ice Nine Kills,IT Is The End,186,11,2,1061532
Trident,Blue Field,135,3,3,153853
momori,Togameru Kage,180,4,3,866301
kors k vs. L.E.D.,SOLID STATE SQUAD,155,2,5,27148
Rameses B,We Love,174,10,5,347276
Primary,Sweets Weekend,180,5,3,1515731
yuki. feat. setsunan,Hello! World,170,10,5,785650
Alex S.,My Little Pony Intro (Glitch Remix),115.01,10,5,49739
Linkin Park,What I've Done,120.05,4,2,84104
ClariS,Colorful -movie MIX-,178,3,3,1570158
Ricky Montgomery,This December,140,4,2,1173192
FLIP-FLAP,Kimi no Ashita (TV Size),170,3,3,35085
Cindy Gomez,Time Only Knows,140,2,2,28557
Wang Feng,Chun Tian Li,180,5,4,135198
YUZUNO,shining! our life,175,5,3,1969787
Black Hole,Pluto,110,2,5,45074
Denkishiki Karen Ongaku Shuudan,I pray,180,2,3,810466
DM DOKURO,The Devourer of Gods (Nonstop Mix),190,2,5,1205309
Primary,Inai Sekai,250,5,3,390619
ur pretty,Keep Riding Me,164,5,2,1934992
BiBi,Fuyu ga Kureta Yokan,98,2,3,366058
Hanazawa Kana,Renai Circulation (Short Ver.),120,3,3,27509
Sasaka Megumi,Aoki Negai -Opening size-,188,2,3,191717
Uchida Aya & Kubo Yurika,"Kokuhaku Biyori, desu!",172,3,3,83754
Sakamoto Ryuichi,Merry Christmas Mr.Lawrence -2012 BlackY's XmasCoreStyle-,167,10,2,232342
Sound Horizon,Kono Semai Torikago no Naka de,128,4,3,939496
Egzod & Maestro Chives,Royalty (feat. Neoni) (Wiguez & Alltair Remix),172,10,2,1850700
ZAQ,OVERDRIVER (TV-size),140,3,3,207295
Trial & Error,"Sore ga Zenbu, Yume ni Tsunagaru (Short Ver.)",167,5,3,1120862
Ouse Akira,Seijaku no Tobira,176,2,3,1877468
3LAU,On My Own (feat. Nevve),116,10,2,1358727
Isla (CV: Amamiya Sora),Suki Nanode.,100,3,3,1195818
Nakazawa Minori (CV: Hanazawa Kana),Minori no Zokkon Mirai Yohou (TV Size),188,5,3,1423080
Nijigasaki High School Idol Club,"NEO SKY, NEO MAP! (TV Size)",142,5,3,1271802
Alfakyun.,Sakura no Ame,76,5,3,633746
Fox Stevenson,Don't Care Crown (Extended DJ Mix),174,10,2,1283780
HyuN,White Aura,200,10,5,891333
"Morishita Chisaki, Tanaka Minami, Kito Akari, Kurose Yuuko",Hitoribocchi no Monologue (nenpulse bootleg remix),170,3,3,1049835
"Wake Up, Girls!",7 Senses,196,5,3,1706306
Vicetone feat. Collin McLoughlin,Heartbeat,128,10,2,295388
senya,Iro wa Nioedo Chirinuru o,138,2,3,969563
Luce Twinkle Wink,1st Love Story <TV size>,137.5,3,3,447245
ClariS,STEP,146,3,3,312851
amazarashi,Kisetsu wa Tsugitsugi Shindeiku,181,3,3,329128
FLOW,Niji no Sora (TV Size),191,4,3,1806231
Yasuharu Takanashi,FAIRY TAIL Main Theme,110,3,5,103887
ChouCho,BLESS YoUr NAME (TV Size),190,5,3,1726797
KOTOKO,Floating up,147,5,3,1185397
SPYAIR,MIDNIGHT,124,4,3,689544
THREE LIGHTS DOWN KINGS,NEVER SAY NEVER,194,3,3,664307
Ian LeFeuvre,Johnny Test Theme (TV Size),200,4,2,1213558
Agnete Kjolsrud,Get Jinxed,180,4,2,1704573
Sena Wataru feat. sana,Hitori Tabi,140,5,3,1273378
Chihara Minori,Mukai Kaze ni Utare nagara,193,3,3,195492
Nightcore,All I Want For Christmas,189.8,10,2,23172
Little Non,Hanamaru Sensation (TV Size),190,3,3,20060
Kawada Mami,Serment (TV Size),212,3,3,50161
Neru feat. Kagamine Rin,Datsugoku,189,4,3,813468
Yuuri,BETELGEUSE,90,5,3,1619572
nice job bro0o0o0o0o0o0o0,sorry asap croissant,114,9,2,224283
ZUN,The Youkai Mountain ~ Mysterious Mountain,168,2,5,76048
Lil Uzi Vert,20 Min (Cut Ver.),123.4,9,2,1277762
cillia,"Fairytale,",194,4,3,1000669
Chino (CV:Minase Inori),Mahou Shoujo Chino (nenpulse bootleg remix),176,3,3,458983
Hashimoto Miyuki,Koi Zakura (Short Ver.),130,2,3,43824
yanaginagi,over and over (TV Size),183,5,3,1830933
Thaehan,Bwa !,188.5,10,5,1014936
NateWantsToBattle,Silhouette,183,4,2,1495961
Iguchi Yuka,HELLO to DREAM (TV Size),160,3,3,1035447
Pastel*Palettes,Kyu~mai*flower,183,2,3,1115294
Spira Spica,Re:RISE (TV Size),166,3,3,1054530
nao,Pastel Chime (Short Ver.),180,2,3,25379
HyuN feat. LyuU,Cross Over,200,10,6,1063700
Shawn Wasabi + YDG,Burnt Rice (feat. YUNG GEMMY),160,10,2,866401
NicoNico Chorus & Hatsune Miku,Melt,170,5,3,18310
SYNC.ART'S feat. Nakamura Meiko,Sword of Valiant,170,2,3,25001
Teddyloid feat. Debra Zeer,D City Rock,135,3,2,27100
Lil Nas X,HOLIDAY,152,9,2,1313511
Eve,Dramaturgy,149,5,3,1718667
DragonForce,Inside the Winter Storm,200,11,2,613814
senya,Nihil Kagura,150,2,3,138420
Kicco,Miracle * Feel Free,150,2,3,644688
himmel feat. YooSanHyakurei,Seraphim,175,6,3,694385
Kito Akari,Dear Doze Days,172,5,3,1949141
Rokudenashi,Tada Koe Hitotsu,130,5,3,1738898
Tama,Sonna Yume wo Mita no ~lonely dreaming girl~,125,2,3,13094
Chi Guo (CV: Ke Ke Wei),Liu Guang Zhi Yu,175,2,4,1095417
Ninomiya Yui,Dark seeks light (TV Size),185,5,3,1727027
ZUN,Inada Hime-sama ni Shikarareru Kara,160.97,2,5,905072
frederic,Kanashii Ureshii (TV Size),142,3,3,869519
CHiCO with HoneyWorks,Hikari Shoumeiron (TV Size),200,3,3,1063453
yanaginagi,Tokohana (TV Size),169,3,3,1059162
Mili,Vulnerability,166,6,5,835194
Super Junior,"Sexy, Free & Single",115,5,6,69841
PEPOYO,Rakuraku Anrakushi,141,5,3,1817101
Disasterpeace,Home,130,2,5,94205
ZUN,Crimson in the Black Sea ~ Legendary Fish,165,2,5,88770
cubesato,hsgn2011reel,127,10,5,70259
Morimori Atsushi,Paradigm Shift,145,10,5,432589
BEAT CRUSADERS,"TONIGHT, TONIGHT, TONIGHT (TV Size)",178,3,2,1321979
jun,KIMONO PRINCESS,190,2,2,49106
Ne Obliviscaris,And Plague Flowers The Kaleidoscope,210,11,2,1208673
Minase Inori,Songs Compilation,190,5,3,957074
konore,Kiga to Hougyoku,191,5,3,1505495
Syaro (CV: Uchida Maaya),Tobikiri summer time,185,3,3,1800527
sweet ARMS,Trust in you,190,3,3,1510821
Risa Yuzuki,Yumemiru Milky Way feat. Aitsuki Nakuru,175,5,3,1934189
Suzuhara Chika,TRUST (Short Ver.),163,2,3,50405
AAAA,Hiyokko Santa to Yuki no Machi (Dear A Remix),202,10,5,880070
The Pretty Reckless,Fucked Up World,128.42,4,2,233562
KISIDA KYODAN & THE AKEBOSI ROCKETS,Tenkyou no Alderamin (TV Size),197,3,3,1219599
Within Temptation,Sinead,117,4,2,34818
DOES,Donten (TV Size),190,4,3,1866550
Rita x MintJam,Beyond the Eternity,200,4,3,1899573
"ChiliChill feat. Hua Ling, Miao*Jiang, Yan Ning ccccc, kinsen",Let the Wind Tell You,120,5,4,1384241
KOTOKO,Princess Brave!,190,2,3,1932908
suzumu feat.soraru,Zetsubousei: Hero Chiryouyaku The Animation,205,3,3,360441
Taylor Swift,Look What You Made Me Do,128,5,2,676677
earthmind,ARCADIA (Short Ver.),177,2,3,81843
Yorushika,Tada Kimi ni Hare,140,4,3,847238
Panic! at the Disco,Mercenary,155,4,2,54468
AiRI,Towa ni Saku Hana (short ver.),95,2,3,791610
ClariS,Luminous -movie MIX-,173,3,3,98234
Parkway Drive,Carrion,154,4,2,514196
BTS,Not Today,110,5,6,575767
Taylor Swift,Love Story (Taylor's Version),119,5,2,1374672
DOMINO,U Can Do It! (TV Size),108,3,3,21197
capsule,JUMPER,130,10,2,21130
Halogen,U Got That (Camellia's Neurofunk Bootleg),174,10,5,934144
Kola Kid,press start,200,10,5,1107725
GFRIEND,FINGERTIP,122,5,6,868365
Tadokoro Azusa,1HOPE SNIPER,274,3,3,824132
Demetori,Higan Kikou ~ View of The River Styx,182,2,5,993059
Chata,Harukaze Dance,165,5,3,1604602
Qrispy Joybox,licca,196,2,5,287052
CLOD,osu!re:call 2018,185,6,14,960601
V.W.P,Reincarnation,186,4,3,1857779
Porter Robinson,Sad Machine (Lexurus Remix),174,10,2,1376431
Naomile,LAST CHRISTMAS,123,5,3,67125
nano.RIPE,Songs Compilation,190,5,3,207561
Sougetsu Eli,Aoi Chou,182,5,3,986329
PSYQUI,Hype feat. Such (lapix Remix),175,10,3,830537
Suzumu feat.Soraru,Zetsubousei: Hero Chiryouyaku (TV Size),205,3,3,104801
(K)NoW_NAME,crepuscular rays,180,3,5,642706
Study,"Can now, Can now",160,3,3,1067636
Hanasakuya,Hyakka wa Gekka ni Chirinuru o,178,2,3,1097046
Becky,Less Than Three (Ricardo Autobahn Remix),160,10,2,1078502
Doubutsu Biscuits,Happy Biscuit,178,5,3,1497782
a_hisaxChicking,The Navigator's Hope,139.99,10,5,439225
Syd Matters,Obstacles,127,2,2,369374
TOKINE,Negai o Yobu Kisetsu,170,2,3,358463
CRIM3S,Stay Ugly,132,10,2,814890
Kitamura Eri,Shirushi (TV Size),160,3,3,40643
Chimame-tai,Tokimeki Poporon,170,3,3,364943
Hikaru Station,My R,210,5,2,1221415
Little Glee Monster,Your Name (TV Size),120.05,5,3,1675222
supercell feat. Hatsune Miku,World is Mine,165,5,3,1784338
wa. vs. ETIA.,Akasagarbha -extended mix-,192,10,5,720329
Sasaki Sayaka,Atlantico Blue,177,5,3,690792
Lime,8bit Voyager,182,10,5,1225869
Horishita Sayuri,Kimochi Signal (TV Size),160,3,3,940764
Bloodhound Gang,The Ballad of Chasey Lain,134,4,2,1963190
Ayane,Kamisama no Syndrome (TV Size),102,5,3,1925014
Maaya Sakamoto,Waiting for the rain,82.5,3,2,378506
Shano x 40mP,Natsukoi Hanabi,158,4,3,104172
Iguchi Yuka,RE-ILLUSION (TV Size),193,3,3,1374845
Sim Gretina,What My Cutie Mark Is Telling Me (Remix),132,7,2,97787
Nishino Kana,Story,79,5,3,113692
Ardolf,Varcolac,180,10,5,1750904
Cher,Mamma Mia,137,5,2,864377
xi,Ascension to Heaven,200,10,5,1301360
An,TearVid -Long mix-,195,10,5,247161
KillerBlood,Something Spicy,180,10,5,569320
Houshou Marine with Holoism Fantasy,Hoihoi*Gensou Holoism,195,10,3,1202320
nano,Born to be,192,3,3,192083
Hatsune Miku,KOKORO-GAME-BOX,185,10,3,17346
SYNC.ART'S ft. Sakaue Nachi,Green Grass Garden,175,2,3,14978
Girls Dead Monster,Crow Song (TV Size),174,3,3,15341
ZAQ,Alteration,160,3,3,1038233
FIELD OF VIEW,DAN DAN Kokoro Hikareteku,132.94,5,3,1648256
Draw the Emotional,Just follow time,154,2,2,75606
Asian Kung-Fu Generation,Rewrite,179,3,3,11945
Kugimiya Rie & Kitamura Eri,Holy Night,110,3,3,64706
GRANRODEO,Setsuna no Ai (TV Size),165,3,3,949559
IAMX,My Secret Friend feat. Imogen Heap,112,5,2,1000069
KOKIA,EXEC_COSMOFLIPS/.,152,2,14,38394
Yoshihisa Hirano and Hideki Taniuchi,L's Theme,135,3,5,5777
ice,Theme of Puella Magi,148,3,5,28243
Teminite & MDK,Space Invaders,128,10,5,979887
Shikata Akiko,Tsukiyo no Ongakukai,220,2,3,861946
D.J.Nero,Joker,184,2,5,405524
MY FIRST STORY feat. chelly (EGOIST),"1,000,000 TIMES",200,2,3,1205697
Rohi,"Ichiru no Nozomi yo, Ano Tsuki e Hibike",140,13,3,95148
"Morishita Chisaki, Tanaka Minami, Kito Akari, Kurose Yuuko",Hitoribocchi no Monologue (TV Size),128,3,3,986224
saradisk,176 - ikazuchi,140,2,3,360417
ZAQ,Dance In The Game (TV Size),135,5,3,1797993
ClariS,Hitorigoto (TV Size),165,3,3,604486
you,Meteor (feat. TEA),172,10,3,1984574
YUC'e,Future Candy (Xignality Remix) (Cut Ver.),180,10,3,1252827
Yuna (CV: Kanda Sayaka),longing,150,5,3,1379105
BUTAOTOME,Roppun no Ichi,174,4,3,1537925
OutputP,Negai Hana,148,13,3,119990
EX Industry,Memory,110.85,2,5,717053
Aoi Shoudo,Steel Samurai,140,2,5,73671
ISHIDA YOKO,COLORFUL BOX,161,3,3,290161
Fujikawa Chiai,Kimi no namae,81,3,3,935269
VIXX,The king,146,5,6,421973
The Lonely Island,The Creep (feat. Nicki Minaj & John Waters),134,9,2,336207
Ace of Base,All That She Wants,93.75,5,2,511823
Rihanna,Only Girl (In The World),126,5,2,26364
KOTOKO,One Small Step,160,5,3,1569847
Aoi a.k.a. ALFOU,Fluctuate (2020 Remaster),195,10,5,1248102
Dimrain47,Cloud Control,160,10,5,1550498
Maeshima Mayu,story (TV Size),220,3,3,1804158
Sasaki Rico,Recollections,197,5,3,948717
Akase Akari,Koi no Yukue (TV Size),140,3,3,1671190
nano feat. MY FIRST STORY,SAVIOR OF SONG (TV Size),192,3,3,120178
Hatsune Miku,Kagerou Days,200,4,3,37638
Luca,Tsuioku no Sol,163,2,3,19241
HO-KAGO TEA TIME,"NO, Thank You!",181,3,3,1006473
Bo Burnham,Welcome to the Internet,95,7,2,1520101
Helvetia (DJ Sa9 + Hommarju) feat. CAMRY,Cagayake!GIRLS,180,3,3,30243
ZAQ,Alteration (TV Size),160,3,3,76947
Momo Belia Deviluke (CV: Toyosaki Aki),MORE & MORE (Cut Ver.),178,5,3,1741100
Shimotsuki Haruka,pray,174,5,3,1864352
Otani Kow,Zetsubo to no Wakare ~Kyozo to no Tatakai~,160,2,5,745524
Maeshima Mayu,Long shot (TV Size),135,3,2,1345977
Yorushika,"Yuunagi, Bou, Hana Madoi",220,4,3,1029921
gi(a)rlish number,Bloom,182,5,3,1373933
HoneyWorks,Kokuhaku Yokou Renshuu,185,4,3,68736
BABYMETAL,Arkadia,200,11,3,1585364
ELFENSJoN,Hyousou wa Hakuen o Matoite,209,4,3,1332833
MOSAIC.WAV,Zen Sekai Teki Touch Panel,182,5,3,171723
kessoku band,Hikari no Naka e,191,4,3,1996305
Nekomata L.E.D.Master+,Chrono Diver -PENDULUMs-,196,10,5,714552
Perfume,Cling Cling,135,5,3,884100
Fox Stevenson,Throwdown,175,10,2,242574
Roselia,-HEROIC ADVENT-,182,2,3,826596
Ohashi Ayaka,"Please, please!",180,5,3,2022566
Rita,Little Busters! -TV animation ver.-,151,3,3,56940
Bomfunk MC's,Freestyler (Cut Ver.),163.85,9,2,1438301
Hagumi Nishizawa,Monobeno no Uta,129,2,3,723411
BlackY feat. Risa Yuzuki,Harutsuge Kochou,202,10,3,1402981
Ax feat. Natsukawa Yoko,Sakimori Renka,170,2,3,998415
livetune adding Yuuki Ozaki(from Galileo Galilei),FLAT TV size edit.,180,3,3,142915
Chino (CV: Minase Inori),Daydream cafe ~Gochuumon wa Chino desu ka? ver.~,150,3,3,888544
MK feat. CAMRY + mi-mi,Treasure,180,3,3,15291
Takigawa Alisa,Sayonara no Yukue (TV Size),170,3,3,362129
HoneyWorks feat. sana,Kokuhaku Rival Sengen,165,5,3,1680649
Yamamoto Mineko,Rinne,179,2,3,951409
supercell,Hoshi ga Matataku Konna Yoru ni,182,2,3,840787
Yuki Kajiura,moon and shadow,172,3,5,1831905
T.M.Revolution,resonance (TV Size),165,5,3,1194877
Suara,Hito Nanda (TV Size),183,5,3,1798453
"Inori Minase, Sakura Ayane",Senryakuteki de Yosoku Funou na Love Comedy no Ending Kyoku (TV Size),197,3,3,1911055
Owl City,Shooting Star (Acoustic),115,5,2,272975
SEVENTEEN,Pretty U,155,5,6,910871
The Penguin Band feat. Cadence,Ghosts Just Wanna Dance (Cut Ver.),170,4,2,1481194
Amatsuki,Astro Lost (Cut Ver.),185,5,3,1521290
Hanatan,WAVE,130,5,3,950784
Hasegawa Tomoki,Zetsubou no Minuet,120,3,5,200948
ORANGE RANGE,*~Asterisk~ (TV Size),124,3,3,1230681
wase,Re Ai 105C De Ni,137,5,3,1781793
MYTH & ROID,shadowgraph (TV Size),125,3,3,1130427
Ian Taylor,Sea Shanty 2,100,2,5,854840
StylipS,Choose me Darling (TV Size),150,3,3,75687
Sygmx,The Lost Woods (Music Box Remix),85,2,5,110650
9nine,SHINING STAR (TV Size),136,3,3,28932
Totaka Kazumi,Wii Sports Theme,120,2,5,1081181
zts,worldenddominator,142,2,5,897884
"Manasora Akiha, Tokika",Toukasa Funtouki!~ Rakutoferin no Hate e ~,185,2,3,43170
pre-holder,Houmurisaru Hana,136,2,5,360144
Misato Aki,Maple Love,170,2,3,50745
"Iris Freyja(CV:Rina Hidaka), Mitsuki Mononobe(CV:Manami Numakura)",Ray of bullet,185,3,3,628968
VINXIS,Left Behind,200,10,2,780372
Fruits Tart,Tart na Kimochi,175,3,3,1346493
Ray,lull ~Soshite Bokura wa~ (TV Size),133,3,3,150571
Nakamura Meiko,revolution,161,5,3,1687781
wotoha,O108ROCKET (feat. Neko Hacker),200,10,3,1510106
Berryz Kobo,Maji Bomber!! (TV Size),190,5,3,1886832
Yamamoto Mineko,Rinne,179,2,3,997192
Melanie Flash,One in a Million (Nightcore Mix),134.4,10,2,42460
Sagittarius,Raise the FLAG,188,3,3,753514
Rameses B,With You,174,10,2,336921
May'n,Chase the world (TV Size),170,3,3,48987
K2,Karaburi Sadistic,171,2,3,15156
HOYO-MiX,Termination of Desires,72,10,5,1585145
The Legend of Zelda - The Wind Waker,Molgera,148.88,2,5,1044
BTS,Save ME,140,5,6,450917
Rob Mayth,Heart to Heart (Nightcore Mix),170.4,10,2,53233
Genkaku Aria,Kuuchuu Teien Dystopia,200,11,3,1684028
HMNK feat. TechniKen,Greatest Memories,137,2,2,909363
Yorushika,Flower And Badger Game,125,4,3,1237860
hololive IDOL PROJECT,Hyakka Ryouran Hanafubuki,175,5,3,1337388
fhana,Kimi to Iu Tokuiten [singular you],175,5,3,377872
Sakamoto Maaya,Yakudou (Game Ver.),205,5,3,1536877
Usher,Scream,128,5,2,53986
Hana,Gekka Jasmine (2014ver.),170,5,3,408745
ChouCho,Songs Compilation,167,5,3,179756
yuiko,GLORIOUS DAYS,167,2,3,557022
fripSide,dual existence (TV Size),171,5,3,1223739
Aimer,Brave Shine,85.5,4,3,331058
Suzaku VS Genbu,Himiko,185,2,5,12710
Lucky Vacuum,MIRACLE MEETS,160,2,5,61687
Duca,Shiawase no Otoshimono,163,2,3,766345
HyuN feat. Yu-A,My life is for you,175,10,6,891417
Trial & Error feat. bunny*kaisui,"Sore ga Zenbu, Yume ni Tsunagaru (Short Ver.)",167,5,3,1051792
ChouCho,My dear friend,158,5,3,206079
Duca,TriColour Heartbeat,178,2,3,695676
Ayano Mashiro,ideal white (TV size),180,3,3,219951
Utada Hikaru & Skrillex,Face My Fears (Japanese Version),160,2,3,891609
Hino Honoka,Intersect World,171,2,3,1038191
Eyemedia,Holy Knight,155,2,5,1064207
Skrillex,Kill EVERYBODY,127,10,2,34727
YUKI,Futari dake no Sekai,158,5,3,931638
Arash feat. Helena,Broken Angel (DJ Aligator Remix),128.57,10,2,50913
Celldweller,I Can't Wait,188,10,2,170148
Shimotsuki Haruka,Kibou no Sora,169,2,3,109900
"Wake Up, Girls!",Suki no Skill,128,3,3,740351
Yonekura Chihiro,Koiseyo Otome!,220,2,3,498438
Shoujo,Reminiscing,175,10,2,852003
MYUKKE.,BUNA*SYNERGY!!!,150,10,5,1294640
fhana,Pathos,135,5,3,1844020
Suzuyu,White Eternity -special feat. Suzuyu-,178,2,3,771615
Saaya Mizuno,My Secret,184,3,3,1813410
Giga & KIRA,GETCHA! feat. Hatsune Miku & GUMI,132,5,2,1905384
"Riko (CV: Miyu Tomita), Reg (CV: Mariya Ise)",Deep in Abyss,135,3,3,724343
Sawai Miku,"Gomen ne, Iiko ja Irarenai. (Anime ver.)",155,3,3,724844
yuki,Tsumetai Kabe no Mukou ni (Short Ver.),171,13,3,1748358
ASH DA HERO,Judgement (TV Size),180,4,3,1918519
"Chito (CV: Minase Inori), Yuuri (CV: Kubo Yurika)","Ugoku, Ugoku",128,3,3,693918
Pendulum,Watercolour,174,10,2,16334
Nightcore,Jump Jump,166.75,10,2,12191
SHISHAMO,Kimi no Tonari ni Itai kara,166,5,3,1276244
Minami,Kawaki o Ameku (TV Size),129,3,3,909638
Aitsuki Nakuru,Presenter*,240,5,3,760473
"Inori Minase, Sakura Ayane",Senryakuteki de Yosoku Funou na Love Comedy no Ending Kyoku,197,5,3,1619893
fripSide,eternal reality - TV size -,145,3,3,113435
NateWantsToBattle,Haruka Mirai,182,4,2,1549104
Uchida Maaya,Resonant Heart (TV Size),185,3,3,1649178
DJ Earworm,United State of Pop 2009 (Blame It on the Pop),130,5,2,1820755
Hayami Saori,Omou Koto -TV size-,119,3,3,129391
Takagi-san (CV: Rie Takahashi),Deatta Koro no You ni,120,3,3,755289
IOSYS,Cirno Chirumiru,180,2,3,5708
Down,Duo Cup,180,11,5,1765192
Sakakibara Yui,Happy Lucky X'mas,160,5,3,235599
Shimotsuki Haruka,Akahitoha,94,13,3,974417
Fei Zao Jun,Da Lang Tao Sha,145,5,4,632984
ginkiha,Paved Garden,187,10,5,1172219
Laura Shigihara,Grasswalk IN-GAME,115.1,2,5,542934
K/DA,"THE BADDEST feat. (G)I-DLE, Bea Miller, Wolftyla",150,5,2,1246543
Dani Rosenoer X Arc North,Onward (pt.II),160,10,2,735153
ClariS,Sakura Saku,87,3,3,734754
"Nitta Emi, Uchida Aya, Mimori Suzuko",START:DASH!!,150,3,3,115974
Cash Cash RMX,Escape From The City,130,2,2,385028
Crazy Frog,Axel F,138,7,14,1719956
THE ORAL CIGARETTES,GET BACK,192,4,3,1239072
Nishigomi Kakumi,Garyou Tensei,134,2,5,886499
JIN,Children Record (Re:boot),206,4,3,1419430
Opeth,Ghost of Perdition,188,4,2,988848
TRakker,Rootus,178,10,3,159325
Mutsuhiko Izumi,Snow Goose,200,2,5,21754
Powerwolf,Resurrection By Erection,160,11,2,1229361
Inori Minase,REAL-EYES,176,5,3,1695639
Natalia Oreiro,Tu Veneno (Cut Ver.),170.1,5,10,1557448
Nana Mizuki,Angel Blossom,176,3,3,300371
fripSide,only my railgun,143,3,3,18137
Takeya Yuki (CV: Minase Inori),Friend Shitai,148,3,3,1041991
Gunther,I'm Not Justin Bieber B**ch,132.12,7,2,139605
HIMEHINA,Hitogata (TV Size),150,3,3,942714
hololive IDOL PROJECT,Dreaming Days,168,5,3,1373114
Denkishiki Karen Ongaku Shuudan,I pray,180,2,3,755676
Yousei Teikoku,Kikai Gensou Syoujo,260,4,3,11393
nano.RIPE,Real World,196,3,3,59269
Sakuragawa Megu,Unreal Creation!,190,2,3,1197118
Duca,Songs Compilation,159,2,3,143216
Katakiri Rekka,TSUBASA,180.5,4,3,1859605
Conagusuri,Hina Choco Dark Matter,180,2,3,15576
Eiko Shimamiya,Super Scription of Data,110,3,3,11283
Endorfin.,white night story (Cut Ver.),188,5,3,1882321
Activ,Doar Cu Tine,126,5,14,48574
Takigawa Alisa,Season,159,3,3,1029865
petit milady,Himawari no Sakamichi,170,5,3,551997
Seven Lions with Myon and Shane 54,Strangers (Feat. Tove Lo),130,10,2,192347
Thaehan,Superpower,178,10,5,779173
Alina Gandini,Sammy el Heladero (Cut Ver.),160,5,10,1895187
fripSide,way to answer,167,2,3,41134
FIESTAR,One More,114,5,6,195781
Park Shin Hye,Lovely Day,127,5,6,394567
wotoha,Digital Life Hacker,160,10,3,1509257
Kozato,45nen no Yukizakura,170,2,5,36097
My Chemical Romance,Planetary (GO!),132,4,2,22890
Megumi Kojima,Fruits Candy,150,3,3,28915
Memme,Extreme Fantasy,152,2,5,49459
Aoi Eir,IGNITE (TV size ver.),171,3,3,191569
Horie Yui,Sugar Sweet Nightmare,166,3,3,15754
Bit Shifter,Chase Init_,60.25,10,5,90826
Release Hallucination,I.F.,220,11,3,1575103
nameless,Milk Crown on Sonnetica,254.92,4,3,550414
DUSTCELL,Narazumono,110,9,3,1893881
Sharlo,anesthesia,153,5,3,1557682
Go Ichinose,Ooame,127.45,2,5,660933
Yellow Zebra,Darling Star,130,2,3,9273
Ariabl'eyeS feat. KOKOMI,Dearest you,182,4,3,1694958
Meramipop,Sacrifice,192,2,3,869801
Inori Minase,REAL-EYES,176,5,3,1670015
Rude-a,LIFE,93,5,3,1581758
S-C-U,concon,190,2,5,42051
JUNNA,Here,108,3,3,713756
The Eden Project,Lost,160,10,2,247747
SCREEN mode,LOVEST(TV Size Ver.),181,3,3,265859
Duca,Kioku x Hajimari (Short Ver.),185,2,3,1721749
VESPERBELL,Cinderella,158,5,3,1678346
MFS,BOW,150,9,3,1873300
Amamiya Sora,Eden no Tabibito,190,5,3,817411
bbn,Identic Conflict,178.21,2,5,1020429
YOASOBI,Ano Yume o Nazotte,180,5,3,1213174
tokiwa,Syuou Sange,170,10,5,1387277
KELUN,CHU-BURA (TV Size),180,3,3,26051
KOTOKO,unfinished (TV Size),146,3,3,50032
Nien,MidNight Blood,147,2,2,17941
Nishino Kana,Clap Clap!!,163,5,3,102786
Mikuni Shimokawa,"Sore ga, Ai deshou (TV Size)",100,3,3,1743292
Kajiura Yuki,"run, run, runaway",170,3,5,854508
sasakure.UK,Hashira to JAPARI Man no Uta ANOTHER,120,3,3,584051
Yoko Shimomura,Welcome to Wonderland,171.99,2,5,45050
Shoohey,"Fairytale,",194,4,3,1183122
AAA,Ashita no Hikari (TV Size),120,5,3,1148453
tokiwa,Kotodama Refrain (katagiri Bootleg),200,10,3,1605822
Ayumi.,Hanagoyomi short version,180,2,3,762144
TRUE,Soundscape(TV size),186,3,3,639319
Tsukuyomi,Gyakutengeki,172,5,3,1975680
ZUN,Chiisana Chiisana Kenshou,170,2,5,1011097
Melone (Ryoko Shintani),Kira Kira Serenade,76,2,3,62957
Nicki Minaj,Super Bass,127,5,2,39043
SPYAIR,JUST ONE LIFE,146,3,3,151320
Vena Cava,Ohana,188,10,5,348279
Giga,BRING IT ON,160,5,3,861475
petit milady,360-Do Hoshi no Orchestra (TV Size),172,3,3,843722
ZUN,"Reach for the Moon, Immortal Smoke",164,2,5,8033
2pm,Tetris,140,2,5,633
Sako Tomohisa,Getta Banban Anime Size ver.,167,3,3,337318
Kouda Yumeha,Happening * Diary (K.P's SHIT Mixed),198,5,3,1780176
Various Artists,Royal Sticker Story,120.03,14,5,1144634
chano & 40mP,Natsukoi Hanabi,158,4,3,673205
Roubai Gakuen Chuutoubu 1-nen 3-kumi,Hajimari no Setsuna (TV Size),128,5,3,1683459
