m,b,x,pp99,adj,v,s,l,d,p,h,appr_h,k
256,464731,0.02,132.35,3262,7K Another,195940,169,5.12,25549,70809,398968,7
256,1895641,0.02,123.93,3365,HEAVENLY,908415,202,5.43,24894,33777,436785,4
64,3578447,0.02,172.93,2468,RETSAM,1749282,119,3.32,7100,4493,465309,4
0,505798,0.02,52.35,1943,Lvl 17,207525,117,3.15,19315,53205,416574,7
64,3056731,0.02,191.37,2105,hyahya's 4K Hard,1489889,138,3.1,8263,9096,460693,4
64,2511490,0.02,173.47,2468,Insane,1206143,88,3.27,20940,25402,444374,4
256,3474858,0.02,154.52,2708,Ethereal Insight: The Missing Link // 10K,1700615,514,6.92,324,10744,459038,10
64,1898344,0.02,158.03,2708,Ultra,909666,138,3.11,48582,36515,433459,4
64,3837960,0.02,147.85,2864,Hard,1856730,178,3.13,6988,6409,463373,4
64,2557258,0.02,174.4,2468,Disappearance,1229990,228,3.09,13353,24586,445200,
64,1250934,0.02,103.52,3983,Hard,591074,86,2.75,64368,51806,418043,4
0,3904211,0.02,113.44,3701,Gunfire,1894503,87,4.52,1700,5366,464411,4
0,3388431,0.02,50.95,1943,Hard,1566347,177,2.64,8697,10443,459340,4
64,2809889,0.02,41.67,102,Leni's Normal,1357570,73,1.82,29200,21549,448238,4
0,282294,0.02,150.53,2788,LV.34,107781,135,4.63,12255,83510,386266,7
256,2651537,0.02,161.81,2644,Twilight,1276188,295,6.03,1566,11930,457864,7
0,3720878,0.02,27.34,2,Advanced,1813747,129,2.03,5472,4186,465944,4
64,472953,0.02,130.06,3262,victorica's 4K MX,197085,88,3.25,96589,76139,393640,4
64,1704348,0.02,107.38,3837,Ultra,810076,146,3.11,60813,42224,427554,4
0,1863290,0.02,11.39,1,Hard,891366,114,2.05,275013,40374,429444,
256,1771959,0.02,107.08,3837,DUAL SHOWDOWNS,847282,304,5.36,26235,38947,430889,4
0,3773531,0.02,86.78,4697,Insane,1815207,127,4.03,1428,4603,465212,4
0,2255705,0.02,65.65,5546,Expert,1077982,224,3.89,17613,31161,438637,
64,2778689,0.02,113.84,3701,Hard,1336615,195,2.93,39089,17191,452585,4
64,1023397,0.02,136.65,3010,5K Hard,479188,82,2.86,7128,58594,411184,5
64,890797,0.02,133.88,3262,Hard,410466,88,2.84,40046,61978,407833,4
64,668662,0.02,154.06,2788,Saint,297933,355,3.13,109188,72117,397660,
64,2983479,0.02,118.06,3715,Expert,1390922,220,3.43,66603,10377,459320,
256,1122253,0.02,112.46,3701,Another!,528031,131,4.74,18459,48344,421432,7
0,3874475,0.02,85.6,4697,with You,1881884,90,3.59,971,3269,466612,4
0,1782390,0.02,125.91,3374,Skystar's Expert (#8),852406,121,4.52,3483,35312,434494,
0,3318980,0.02,131.54,3262,Advanced,1621894,100,4.19,1025,13789,456048,
0,3966192,0.02,80.36,5057,Kyairie's Extra,1906993,114,4.09,751,3357,466448,
0,846105,0.02,33.4,6,Burn,387700,124,2.64,326289,61738,408053,
0,2223893,0.02,88.53,4697,†LEGGENDARIA,857638,301,3.79,13095,31512,438295,
0,2748031,0.02,29.82,6,Nabi's NORMAL,1325554,133,2.12,78195,20077,449700,4
0,3583124,0.02,8.93,1,Hard,1751372,111,2.09,7291,2591,467185,4
0,1243791,0.02,97.25,4190,konG's Extra,586889,110,3.73,13599,51021,418772,
64,769268,0.02,110.66,3701,nowsmart's 4K Hyper,347890,109,3.09,162768,68192,401662,4
0,3456997,0.02,40.7,102,Normal,1691791,96,2.38,7007,10382,459377,4
64,1064326,0.02,138.06,3010,SKIP,499643,88,2.89,43293,55214,414657,4
256,819891,0.02,105.35,3837,Zan's Extra,374277,114,4.9,15117,61618,408158,7
64,1155253,0.02,116.67,3715,Fuccing's Crescent Rose,510958,329,2.96,90383,58008,411844,
0,895750,0.02,113.76,3701,7K Maximum Live!,406858,279,4.05,687,9704,460073,7
64,2828322,0.02,105.76,3837,ADVANCED,1127597,118,3.2,39619,19590,450220,4
256,1515367,0.02,129.14,3374,Collab Another,717251,258,4.78,17460,35779,433999,4
0,1640290,0.02,5.48,1,Normal,780932,123,1.83,184014,33681,436152,
256,1225425,0.02,91.06,4348,CS' EXHAUST,577563,115,4.49,77550,55177,414603,4
0,3562728,0.02,22.93,1,Normal,1742496,94,2.26,2244,7713,462253,6
64,4065312,0.02,184.03,2291,Puppet,1961562,79,3.48,2328,2260,467516,4
0,3484333,0.02,79.16,5425,Ame's Insane,1695213,252,3.69,839,12238,457547,
0,3351002,0.02,40.37,102,Lucky,1641849,164,2.26,23818,3706,466076,
0,1109913,0.02,79.82,5057,Flask's Extra,370467,204,3.33,6022,58094,412049,
